timestamp,battery,temperatur,pressure
1.681397865000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397866000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397867000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397868000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397869000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397870000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397871000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397872000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397873000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397874000000000e+09,3.900000000000000000e+01,2.300000000000000000e+01,2.245399932861328125e+02
1.681397875000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00,2.256539916992187500e+02
